EPOCH                                       BR                     BT                     BN
dd-mm-yyyy hh:mm:ss.ms                      nT                     nT                     nT
26-06-2004 05:50:00.000              0.0730000               0.292000              -0.190000
26-06-2004 05:51:00.000              0.0560000               0.299000              -0.177000
26-06-2004 05:52:00.000              0.0510000               0.295000              -0.175000
26-06-2004 05:53:00.000              0.0470000               0.296000              -0.183000
26-06-2004 05:54:00.000              0.0450000               0.290000              -0.185000
26-06-2004 05:55:00.000              0.0290000               0.296000              -0.176000
26-06-2004 05:56:00.000              0.0140000               0.305000              -0.180000
26-06-2004 05:57:00.000              0.0300000               0.296000              -0.182000
26-06-2004 05:58:00.000              0.0180000               0.298000              -0.183000
26-06-2004 05:59:00.000             0.00800000               0.297000              -0.190000
26-06-2004 06:00:00.000            -0.00800000               0.289000              -0.210000
26-06-2004 06:01:00.000             -0.0250000               0.277000              -0.220000
26-06-2004 06:02:00.000             -0.0110000               0.260000              -0.233000
26-06-2004 06:03:00.000              0.0370000               0.256000              -0.242000
26-06-2004 06:04:00.000              0.0620000               0.231000              -0.265000
26-06-2004 06:05:00.000              0.0670000              0.0990000              -0.329000
26-06-2004 06:06:00.000              0.0790000              0.0810000              -0.321000
26-06-2004 06:07:00.000              0.0910000              0.0420000              -0.329000
26-06-2004 06:08:00.000               0.121000             -0.0690000              -0.305000
26-06-2004 06:09:00.000               0.199000               0.102000              -0.250000
26-06-2004 06:10:00.000               0.131000               0.249000              -0.191000
26-06-2004 06:11:00.000               0.113000               0.334000             -0.0660000
26-06-2004 06:12:00.000              0.0720000               0.338000             -0.0720000
26-06-2004 06:13:00.000              0.0440000               0.332000             -0.0880000
26-06-2004 06:14:00.000              0.0760000               0.295000              -0.155000
26-06-2004 06:15:00.000              0.0960000               0.204000              -0.224000
26-06-2004 06:16:00.000              0.0610000              0.0940000              -0.284000
26-06-2004 06:17:00.000              0.0710000               0.124000              -0.273000
26-06-2004 06:18:00.000              0.0690000               0.155000              -0.260000
26-06-2004 06:19:00.000              0.0590000               0.190000              -0.221000
26-06-2004 06:20:00.000              0.0530000               0.191000              -0.226000
26-06-2004 06:21:00.000              0.0500000               0.185000              -0.233000
